invariants generated with modified swagger ,invariant generated with original swagger,TRUE/FALSE,invariant generated with original swagger,invariants_org_Swagger_updated_csv,TRUE/FALSE,,,,,,,,,,,
failed to get console mode for stdout: The handle is invalid.,failed to get console mode for stdout: The handle is invalid.,TRUE,failed to get console mode for stdout: The handle is invalid.,failed to get console mode for stdout: The handle is invalid.,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.amount),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.currency),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;LENGTH(return.percentage)==5;daikon.inv.unary.string.FixedLengthString;(return.percentage),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.percentage),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingFrequency one of { "PER_NIGHT",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&taxes():::EXIT;return.pricingMode one of { "PER_OCCUPANT",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.base == return.total;daikon.inv.binary.twoString.StringEqual;(return.base,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total == return.base;daikon.inv.binary.twoString.StringEqual;(return.total,FALSE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total == return.base;daikon.inv.binary.twoString.StringEqual;(return.total,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total == return.base;daikon.inv.binary.twoString.StringEqual;(return.total,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.startDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.startDate),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.startDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.startDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.startDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.startDate),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.endDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.endDate),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.markups),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.total),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.total),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.total),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.startDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.startDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.base),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.base),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.total),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.markups),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.markups),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers&price&variations&changes():::EXIT;return.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.markups),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == return.guests.adults;daikon.inv.binary.twoScalar.IntEqual;(input.adults,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == return.guests.adults;daikon.inv.binary.twoScalar.IntEqual;(input.adults,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == return.guests.adults;daikon.inv.binary.twoScalar.IntEqual;(input.adults,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == return.guests.adults;daikon.inv.binary.twoScalar.IntEqual;(input.adults,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(input.adults,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(input.adults,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(input.adults,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(input.adults,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkInDate == return.checkInDate;daikon.inv.binary.twoString.StringEqual;(input.checkInDate,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkInDate == return.checkInDate;daikon.inv.binary.twoString.StringEqual;(input.checkInDate,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkInDate == return.checkInDate;daikon.inv.binary.twoString.StringEqual;(input.checkInDate,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkInDate == return.checkInDate;daikon.inv.binary.twoString.StringEqual;(input.checkInDate,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkOutDate == return.checkOutDate;daikon.inv.binary.twoString.StringEqual;(input.checkOutDate,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkOutDate == return.checkOutDate;daikon.inv.binary.twoString.StringEqual;(input.checkOutDate,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkOutDate == return.checkOutDate;daikon.inv.binary.twoString.StringEqual;(input.checkOutDate,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.checkOutDate == return.checkOutDate;daikon.inv.binary.twoString.StringEqual;(input.checkOutDate,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.boardType == return.boardType;daikon.inv.binary.twoString.StringEqual;(input.boardType,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.boardType == return.boardType;daikon.inv.binary.twoString.StringEqual;(input.boardType,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.boardType == return.boardType;daikon.inv.binary.twoString.StringEqual;(input.boardType,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.boardType == return.boardType;daikon.inv.binary.twoString.StringEqual;(input.boardType,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.category == return.rateCode;daikon.inv.binary.twoString.StringEqual;(return.category,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateCode == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateCode,FALSE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateCode == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateCode,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateCode == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateCode,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.category == return.rateFamilyEstimated.code;daikon.inv.binary.twoString.StringEqual;(return.category,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateFamilyEstimated.code == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateFamilyEstimated.code,FALSE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateFamilyEstimated.code == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateFamilyEstimated.code,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateFamilyEstimated.code == return.category;daikon.inv.binary.twoString.StringEqual;(return.rateFamilyEstimated.code,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.commission.description == return.description;daikon.inv.binary.twoScalar.IntEqual;(return.commission.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.commission.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,FALSE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.commission.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.commission.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.deposit.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.guarantee.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.guarantee.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.guarantee.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.guarantee.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.deposit.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.deposit.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.deposit.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.prepay.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.prepay.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.prepay.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == return.policies.prepay.description;daikon.inv.binary.twoScalar.IntEqual;(return.description,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == return.policies.prepay.acceptedPayments.methods;daikon.inv.binary.twoScalar.IntEqual;(return.policies.prepay.acceptedPayments.creditCards,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(return.room.typeEstimated.beds,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(return.room.typeEstimated.beds,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(return.room.typeEstimated.beds,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == return.price.variations.average.markups;daikon.inv.binary.twoScalar.IntEqual;(return.price.markups,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == return.price.variations.average.markups;daikon.inv.binary.twoScalar.IntEqual;(return.price.markups,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == return.price.variations.average.markups;daikon.inv.binary.twoScalar.IntEqual;(return.price.markups,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == return.price.variations.average.markups;daikon.inv.binary.twoScalar.IntEqual;(return.price.markups,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds == size(return.policies.deposit.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntEqual;(return.room.typeEstimated.beds,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == return.policies.prepay.acceptedPayments.methods;daikon.inv.binary.twoScalar.IntEqual;(return.policies.prepay.acceptedPayments.creditCards,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == return.policies.prepay.acceptedPayments.methods;daikon.inv.binary.twoScalar.IntEqual;(return.policies.prepay.acceptedPayments.creditCards,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == return.policies.prepay.acceptedPayments.methods;daikon.inv.binary.twoScalar.IntEqual;(return.policies.prepay.acceptedPayments.creditCards,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.boardType one of { "BREAKFAST",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.id)==10;daikon.inv.unary.string.FixedLengthString;(return.id),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.id)==10;daikon.inv.unary.string.FixedLengthString;(return.id),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.id)==10;daikon.inv.unary.string.FixedLengthString;(return.id),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.boardType)==9;daikon.inv.unary.string.FixedLengthString;(return.boardType),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate one of { "2022-09-20",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate one of { "2022-09-20",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate one of { "2022-09-20",TRUE,,,,,,,,,,,
