invariants generated with modified swagger ,invariant generated with original swagger,TRUE/FALSE,invariant generated with original swagger,invariants_org_Swagger_updated_csv,TRUE/FALSE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.category == "GOV";daikon.inv.unary.string.OneOfString;(return.category),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkInDate),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkInDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkInDate),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate one of { "2022-09-20",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkOutDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkOutDate),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkOutDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkOutDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkOutDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkOutDate),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkInDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkInDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.roomQuantity)==1;daikon.inv.unary.string.FixedLengthString;(return.roomQuantity),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.roomQuantity)==1;daikon.inv.unary.string.FixedLengthString;(return.roomQuantity),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.roomQuantity)==1;daikon.inv.unary.string.FixedLengthString;(return.roomQuantity),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.checkOutDate is a Date. Format: YYYY/MM/DD;daikon.inv.unary.string.dates.IsDateYYYYMMDD;(return.checkOutDate),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.roomQuantity is Numeric;daikon.inv.unary.string.IsNumeric;(return.roomQuantity),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.roomQuantity is Numeric;daikon.inv.unary.string.IsNumeric;(return.roomQuantity),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.roomQuantity is Numeric;daikon.inv.unary.string.IsNumeric;(return.roomQuantity),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.commission.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.commission.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateCode)==3;daikon.inv.unary.string.FixedLengthString;(return.rateCode),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateCode)==3;daikon.inv.unary.string.FixedLengthString;(return.rateCode),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateCode)==3;daikon.inv.unary.string.FixedLengthString;(return.rateCode),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == null;daikon.inv.unary.scalar.OneOfScalar;(return.description),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.code)==3;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.code),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.code)==3;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.code),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.code)==3;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.code),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.guests.childAges == null;daikon.inv.unary.scalar.OneOfScalar;(return.guests.childAges),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateFamilyEstimated.type one of { "C",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateFamilyEstimated.type one of { "C",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateFamilyEstimated.type one of { "C",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.id)==10;daikon.inv.unary.string.FixedLengthString;(return.id),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.type)==1;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.type),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.type)==1;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.type)==1;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.type),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.policies.cancellation.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.category == "GOV";daikon.inv.unary.string.OneOfString;(return.category),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.category == "GOV";daikon.inv.unary.string.OneOfString;(return.category),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.category == "GOV";daikon.inv.unary.string.OneOfString;(return.category),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.deadline)==25;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.deadline),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == null;daikon.inv.unary.scalar.OneOfScalar;(return.description),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == null;daikon.inv.unary.scalar.OneOfScalar;(return.description),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.description == null;daikon.inv.unary.scalar.OneOfScalar;(return.description),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.description.text one of { "NON-REFUNDABLE RATE",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.commission.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.commission.percentage),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.commission.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.commission.percentage),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.commission.percentage is Numeric;daikon.inv.unary.string.IsNumeric;(return.commission.percentage),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.numberOfNights one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.boardType one of { "BREAKFAST",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.boardType one of { "BREAKFAST",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.boardType one of { "BREAKFAST",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.type == "FULL_STAY";daikon.inv.unary.string.OneOfString;(return.policies.cancellation.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.boardType)==9;daikon.inv.unary.string.FixedLengthString;(return.boardType),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.boardType)==9;daikon.inv.unary.string.FixedLengthString;(return.boardType),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.boardType)==9;daikon.inv.unary.string.FixedLengthString;(return.boardType),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.type)==9;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.type)==3;daikon.inv.unary.string.FixedLengthString;(return.room.type),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.type)==3;daikon.inv.unary.string.FixedLengthString;(return.room.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.type)==3;daikon.inv.unary.string.FixedLengthString;(return.room.type),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds one of { 1,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds one of { 1,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkInDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkInDescription),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.description.lang)==2;daikon.inv.unary.string.FixedLengthString;(return.room.description.lang),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.description.lang)==2;daikon.inv.unary.string.FixedLengthString;(return.room.description.lang),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.description.lang)==2;daikon.inv.unary.string.FixedLengthString;(return.room.description.lang),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkOutDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkOutDescription),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.guests.childAges == null;daikon.inv.unary.scalar.OneOfScalar;(return.guests.childAges),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.guests.childAges == null;daikon.inv.unary.scalar.OneOfScalar;(return.guests.childAges),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.guests.childAges == null;daikon.inv.unary.scalar.OneOfScalar;(return.guests.childAges),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.creditCards[] one of { [AX,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.price.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.price.currency),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.price.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.price.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.price.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.price.currency),TRUE, JC, VI], [VI, AX, CA, DC, EC, JC, CU, MC, IK] };daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.deposit.acceptedPayments.creditCards[..])
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.deposit.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.deposit.acceptedPayments.creditCards[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.total),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.total),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.total),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] elements one of { "ADVANCE_DEPOSIT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.base),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.base),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] one of { [CREDIT_CARD],/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.price.markups),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.price.markups),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.price.markups),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.creditCards[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.total == "126.73";daikon.inv.unary.string.OneOfString;(return.price.variations.average.total),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.total == "126.73";daikon.inv.unary.string.OneOfString;(return.price.variations.average.total),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.total == "126.73";daikon.inv.unary.string.OneOfString;(return.price.variations.average.total),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] == [CREDIT_CARD];daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.guarantee.acceptedPayments.methods[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.variations.average.base),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.variations.average.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.variations.average.base),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] elements == "CREDIT_CARD";daikon.inv.unary.stringsequence.EltOneOfString;(return.policies.guarantee.acceptedPayments.methods[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.paymentType one of { "deposit",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.paymentType one of { "deposit",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.paymentType one of { "deposit",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.methods[] have LENGTH=11;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.methods[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.creditCards[..]),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.creditCards[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.creditCards[..]),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.holdTime == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.holdTime),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] == [CREDIT_CARD];daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.guarantee.acceptedPayments.methods[..]),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] == [CREDIT_CARD];daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.guarantee.acceptedPayments.methods[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] == [CREDIT_CARD];daikon.inv.unary.stringsequence.OneOfStringSequence;(return.policies.guarantee.acceptedPayments.methods[..]),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.paymentType one of { "deposit",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] elements == "CREDIT_CARD";daikon.inv.unary.stringsequence.EltOneOfString;(return.policies.guarantee.acceptedPayments.methods[..]),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] elements == "CREDIT_CARD";daikon.inv.unary.stringsequence.EltOneOfString;(return.policies.guarantee.acceptedPayments.methods[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.guarantee.acceptedPayments.methods[] elements == "CREDIT_CARD";daikon.inv.unary.stringsequence.EltOneOfString;(return.policies.guarantee.acceptedPayments.methods[..]),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.methods[] have LENGTH=11;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.methods[..]),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.methods[] have LENGTH=11;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.methods[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.guarantee.acceptedPayments.methods[] have LENGTH=11;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.guarantee.acceptedPayments.methods[..]),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.creditCards[] one of { [AX,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.creditCards[] one of { [AX,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.creditCards[] one of { [AX,TRUE,,,,,,,,,,,
