invariants generated with modified swagger ,invariant generated with original swagger,TRUE/FALSE,invariant generated with original swagger,invariants_org_Swagger_updated_csv,TRUE/FALSE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments.creditCards),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.deposit.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.deposit.acceptedPayments.creditCards[..]),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.deposit.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.deposit.acceptedPayments.creditCards[..]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;All the elements of return.policies.deposit.acceptedPayments.creditCards[] have LENGTH=2;daikon.inv.unary.stringsequence.SequenceFixedLengthString;(return.policies.deposit.acceptedPayments.creditCards[..]),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] elements one of { "ADVANCE_DEPOSIT",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] elements one of { "ADVANCE_DEPOSIT",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] elements one of { "ADVANCE_DEPOSIT",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.price.currency)==3;daikon.inv.unary.string.FixedLengthString;(return.price.currency),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] one of { [CREDIT_CARD],TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] one of { [CREDIT_CARD],/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.deposit.acceptedPayments.methods[] one of { [CREDIT_CARD],TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.markups == null;daikon.inv.unary.scalar.OneOfScalar;(return.price.markups),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.total is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.total),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.base is Numeric;daikon.inv.unary.string.IsNumeric;(return.price.variations.average.base),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments.creditCards),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments.creditCards),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.prepay.acceptedPayments.creditCards == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.prepay.acceptedPayments.creditCards),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.variations.average.total == "126.73";daikon.inv.unary.string.OneOfString;(return.price.variations.average.total),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.holdTime == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.holdTime),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.holdTime == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.holdTime),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.holdTime == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.holdTime),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateCode)==3;daikon.inv.unary.string.FixedLengthString;(return.rateCode),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.type == "FULL_STAY";daikon.inv.unary.string.OneOfString;(return.policies.cancellation.type),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.type == "FULL_STAY";daikon.inv.unary.string.OneOfString;(return.policies.cancellation.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.type == "FULL_STAY";daikon.inv.unary.string.OneOfString;(return.policies.cancellation.type),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.code)==3;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.code),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.type)==9;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.type),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.type)==9;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.type)==9;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.type),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.rateFamilyEstimated.type one of { "C",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.policies.cancellation.amount),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.policies.cancellation.amount),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.amount is Numeric;daikon.inv.unary.string.IsNumeric;(return.policies.cancellation.amount),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.rateFamilyEstimated.type)==1;daikon.inv.unary.string.FixedLengthString;(return.rateFamilyEstimated.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.numberOfNights one of { 1,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.numberOfNights one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.numberOfNights one of { 1,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.description.lang)==2;daikon.inv.unary.string.FixedLengthString;(return.room.description.lang),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.deadline)==25;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.deadline),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.deadline)==25;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.deadline),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.policies.cancellation.deadline)==25;daikon.inv.unary.string.FixedLengthString;(return.policies.cancellation.deadline),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.room.type)==3;daikon.inv.unary.string.FixedLengthString;(return.room.type),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.description.text one of { "NON-REFUNDABLE RATE",TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.description.text one of { "NON-REFUNDABLE RATE",/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.cancellation.description.text one of { "NON-REFUNDABLE RATE",TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.room.typeEstimated.beds one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;LENGTH(return.roomQuantity)==1;daikon.inv.unary.string.FixedLengthString;(return.roomQuantity),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkInDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkInDescription),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkInDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkInDescription),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkInDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkInDescription),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.roomQuantity is Numeric;daikon.inv.unary.string.IsNumeric;(return.roomQuantity),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkOutDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkOutDescription),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkOutDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkOutDescription),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.policies.checkInOut.checkOutDescription == null;daikon.inv.unary.scalar.OneOfScalar;(return.policies.checkInOut.checkOutDescription),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.self is Url;daikon.inv.unary.string.IsUrl;(return.self),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.self is Url;daikon.inv.unary.string.IsUrl;(return.self),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.self is Url;daikon.inv.unary.string.IsUrl;(return.self),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.self is Url;daikon.inv.unary.string.IsUrl;(return.self),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.creditCards[]) one of { 7,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.taxes[]) one of { 1,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.taxes[]) one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.taxes[]) one of { 1,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.methods[]) one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.variations.changes[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.price.variations.changes[..])),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.variations.changes[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.price.variations.changes[..])),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.variations.changes[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.price.variations.changes[..])),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.guarantee.acceptedPayments.methods[]) == 1;daikon.inv.unary.scalar.OneOfScalar;(size(return.policies.guarantee.acceptedPayments.methods[..])),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.guarantee.acceptedPayments.methods[]) == 1;daikon.inv.unary.scalar.OneOfScalar;(size(return.policies.guarantee.acceptedPayments.methods[..])),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.guarantee.acceptedPayments.methods[]) == 1;daikon.inv.unary.scalar.OneOfScalar;(size(return.policies.guarantee.acceptedPayments.methods[..])),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.guarantee.acceptedPayments.methods[]) == 1;daikon.inv.unary.scalar.OneOfScalar;(size(return.policies.guarantee.acceptedPayments.methods[..])),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.taxes[]) one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.creditCards[]) one of { 7,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.creditCards[]) one of { 7,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.creditCards[]) one of { 7,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.price.variations.changes[]) >= 1;daikon.inv.unary.scalar.LowerBound;(size(return.price.variations.changes[..])),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.methods[]) one of { 1,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.methods[]) one of { 1,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;size(return.policies.deposit.acceptedPayments.methods[]) one of { 1,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights]),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights]),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights-1] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights-1]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights-1] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights-1]),TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights-1] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights-1]),/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;return.price.taxes[return.policies.cancellation.numberOfNights-1] has only one value;daikon.inv.unary.scalar.OneOfScalar;(return.price.taxes[return.policies.cancellation.numberOfNights-1]),TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.adults,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.adults,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.adults,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.adults >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.adults,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= return.room.typeEstimated.beds;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= return.room.typeEstimated.beds;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= return.room.typeEstimated.beds;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= return.room.typeEstimated.beds;daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.roomQuantity >= size(return.policies.guarantee.acceptedPayments.methods[]);daikon.inv.binary.twoScalar.IntGreaterEqual;(input.roomQuantity,TRUE,,,,,,,,,,,
/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.lang is a substring of return.self;daikon.inv.binary.twoString.StdString$SubString;(input.lang,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.lang is a substring of return.self;daikon.inv.binary.twoString.StdString$SubString;(input.lang,TRUE,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.lang is a substring of return.self;daikon.inv.binary.twoString.StdString$SubString;(input.lang,/shopping/hotel-offers&getMultiHotelOffers&200&data&offers():::EXIT;input.lang is a substring of return.self;daikon.inv.binary.twoString.StdString$SubString;(input.lang,TRUE,,,,,,,,,,,
